ID,executedAt,executedBy,allocationType,allocationDestCode,companyCode,companyName,material
HIST0000000000000001,2025-12-01T09:00:00z,E0001,TYPE01,ACCT0001,C001,AcmeJP,MAT0001
HIST0000000000000002,2025-12-01T10:00:00z,E0002,TYPE02,ACCT0002,C001,AcmeJP,MAT0002
HIST0000000000000003,2025-12-01T11:00:00z,E0003,TYPE03,ACCT0003,C002,BravoCo,MAT0003
HIST0000000000000004,2025-12-02T09:30:00z,E0004,TYPE04,ACCT0004,C002,BravoCo,MAT0004
HIST0000000000000005,2025-12-02T14:15:00z,E0005,TYPE05,ACCT0005,C003,ChocoInc,MAT0005
HIST0000000000000006,2025-12-03T08:45:00z,E0006,TYPE06,ACCT0006,C003,ChocoInc,MAT0006
HIST0000000000000007,2025-12-03T16:20:00z,E0007,TYPE07,ACCT0007,C004,DeltaLLC,MAT0007
HIST0000000000000008,2025-12-04T13:05:00z,E0008,TYPE08,ACCT0008,C004,DeltaLLC,MAT0008
HIST0000000000000009,2025-12-05T09:10:00z,E0009,TYPE09,ACCT0009,C005,EchoLtd,MAT0009
HIST0000000000000010,2025-12-05T17:40:00z,E0010,TYPE10,ACCT0010,C005,EchoLtd,MAT0010
